"","HHID_unique","hh_size","tikina","province","sector","area","EA","class","date.interview","start.interview","end.interview","second.interview","reason.second","start.second","end.second","final.outcome","religion","language","any.child.dead","number.child.dead","tv","radio","refrigerator","telephone","bicycle","motorbike","car","truck","tractor","computer","internet","land","roofing","flooring","walling","overall.condition","other.households","number.households","toilet","water","distance.water","treat.water","how.treat","cooking.fuel","secondary.cooking","type.secondary","type.stove","where.cook","with.electricity","hrs.electricity","reliable.electricity","season.food","season.water","season.economic","place_in_HH","sex","relationship","age","age.categories","marital","disability3","disability.categories","ethnicity","ind.language","y.n.religion","ind.religion","seeing","hearing","walking","remembering","self.care","communicating","food.resources","resources.often","food.sleep","sleep.often","food.wholeday","wholeday.often","food.year","water.quantity","number.people","sleep.outdoors","nights.outdoors","illness.injury","affect.work","length.affect","time.exposure","health.exposure","rate.exposure","receive.care","not.seek","provider","skill","clean","available","respect","wait","location","hcprobs","given.birth","number.births","currently.preg","month.preg","prenatal.preg","provider.prenatal","prenatal.visits","planned.visits","reason.prenatal","where.prenatal","postnatal","care.postnatal","provider.postnatal","freq.postnatal","reason.postnatal","attend.postnatal","birth.postnatal","where.postnatal","attend.school","years.schooling","highest.schooling","read","read.english","check.read.english","read.fijian","check.read.other","write","write.english","check.write","write.other","check.write.other","arithmetic","check.add","check.multiply","toilet.facilities","second.toilet","type.second","support.amount","protect.amount","present.amount","ask","hit","beaten","force","amount","insult","future","access.contraception","methods","barriers","rubbish","sewage","pollution","stagnant","waste","traffic","noise","other","raise.issues","change","control.amount","typical","a.i.time","j.s.time","j.s.second","work.pay","kind.work","injury.work","effect.injury","harm.work","respect.paid","treated.respect","unpaid.work","kind.unpaid.work","injury.unpaid","effect.injury.unpaid","harm.unpaid","respect.unpaid","treated.unpaid","happy","satisfied","poor","how.poor","time.exposure.mins","a.i.time.mins","j.s.time.mins","j.s.second.mins","housing_roof","housing_floor","housing_wall","eprobs","score1.1.1","score1.1","score1","score1_cat","score2.1.1","score2.2.1","score2.3.1","score2.1","score2.2","score2.3","score2","score2_cat","score3.1.1","score3.1.2","score3.2.1","score3.1","score3.2","score3_cat","score4.1.1","score4.1.2","score4.2.1","score4.2","score4","score4_cat","score5.1.1","score5.1.2","score5.1","score5","score5_cat","score6.1.1","score6.1.2","score6.2.1","score6.1","score6.2","score6","score6_cat","score7.1.1","score7.1","score7","score7_cat","score8.1.1","score8.1","score8","score8_cat","score9.1.1","score9.1.2","score9.1","score9","score9_cat","score12.1.1","score12.1","score12","score12_cat","score13.1.1","score13.1.2","score13.1","score13.2.1","score13.2","score13","score13_cat","score14.1.1","score14.1","score14","score14_cat","score15.1.1","score15.1.2","score15.1.3","score15.1","score15.2.1","score15.2.2","score15.2","score15","score15_cat","score4.1","score3"
"11",11,1,10,11,0,8,110300080,0,40815,10.56,11.15,0,0,0,0,1,7,3,2,NA,1,1,2,1,2,2,2,2,2,2,2,2,10,8,6,3,2,NA,7,7,NA,2,NA,3,1,5,1,2,1,24,4,2,2,2,1,1,1,66,5,4,0,3,2,2,1,7,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,4,1,1,2,1,2,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4",5,1,1,2,NA,NA,1,1,2,NA,NA,1,1,2,7,2,NA,3,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,5,1,20,4,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,4,4,2,2,2,NA,120,1200,240,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,1,3,3,2.5,2,1,1,1,1,1,3,3,0,3,0,1.5,1,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,NA,1,3,3,2,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2,1
"12",12,1,6,1,1,725,10317256,6,40815,9,9.2,0,0,0,0,1,7,3,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,2,9,2,1,1,4,7,NA,2,NA,5,2,NA,2,2,2,NA,NA,1,2,3,1,1,1,55,4,4,0,3,2,2,1,7,2,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,1,1,3,3,2,NA,1,NA,5,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,4,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,1,2,2,2,1,4,4,5,3,13,11,NA,1,5,2,NA,2,3,3,1,1,2,NA,2,3,3,2,2,2,NA,180,780,660,NA,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,0,NA,0.5,NA,0,2,3,2,2,2.25,2,3,NA,3,3,3,0,NA,3,0,3,1.5,1,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,2.5,0.5
"13",13,1,4,14,1,100,140111000,0,40815,11.2,11.35,0,0,0,0,1,7,3,2,NA,2,1,2,2,2,2,2,2,2,2,2,2,10,7,13,4,2,NA,7,7,NA,2,NA,6,1,3,1,2,2,NA,NA,2,2,3,1,1,1,58,4,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,2,2,4,3,1,3,1,NA,5,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,1,2,2,1,2,2,2,2,3,3,5,1,16.3,7.3,0,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,4,4,4,1,1,2,NA,180,990,450,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,2,2,2,2.25,2,3,NA,3,3,3,0,NA,3,0,3,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2.5,3
"14",14,1,10,11,0,8,110300080,0,40815,12.51,13.11,0,0,0,0,1,8,3,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,10,9,15,4,1,1,7,4,3,2,NA,5,2,NA,1,2,1,24,4,2,2,2,1,2,1,68,5,4,0,3,2,2,1,8,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,4,1,1,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,7,2,NA,4,5,5,1,2,2,2,NA,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,4,4,4,1,21.3,2.3,1,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,3,3,1,1,2,NA,0,1290,150,60,0,0,0,0,3,3,3,3,3,2,3,3,2,3,2.66666666666667,2,3,3,NA,3,NA,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,3
"15",15,1,11,11,0,4,110400040,0,50815,18,18.1,0,0,0,0,1,1,2,2,NA,1,1,2,1,2,2,2,2,2,2,1,2,10,7,15,4,2,NA,7,7,NA,2,NA,3,1,5,1,3,1,24,4,1,1,1,1,2,1,67,5,1,0,3,1,1,1,1,2,1,1,2,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,2,2,4,3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,5,3,18,6,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,1,1,2,NA,180,1080,360,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,3
"16",16,1,11,11,0,4,110400040,0,50815,13,13.15,0,0,0,0,1,1,2,2,NA,1,1,2,2,2,2,2,2,2,2,2,1,10,8,6,3,2,NA,7,6,NA,2,NA,1,2,NA,1,4,1,24,4,2,2,2,1,1,1,63,4,2,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,4,2,4,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,4,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,3,4,5,3,15,9,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,3,3,3,1,1,2,NA,60,900,540,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2.5,3,3,2.75,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,1
"17",17,1,11,11,0,4,110400040,0,50815,11.55,12.15,0,0,0,0,1,3,2,2,NA,1,1,1,1,2,2,2,2,2,2,1,2,10,7,6,4,2,NA,7,7,NA,2,NA,3,1,5,1,3,1,24,4,1,1,1,1,2,1,43,3,1,0,3,1,1,1,3,2,1,2,2,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,3,2,4,3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,5,3,16,8,NA,1,5,2,NA,4,3,3,1,1,2,NA,1,3,3,1,1,2,NA,180,960,480,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,0,0,1.5,1,2,NA,2,2,2,3,3,0,3,0,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,2,3,3,3,3,2,3,NA,2.5,3,NA,3,2.75,2,3,2
"18",18,1,10,11,0,13,110300130,0,50815,17.05,17.38,0,0,0,0,1,4,2,2,NA,1,1,1,1,2,2,2,2,2,2,2,2,10,8,15,2,2,NA,7,7,NA,2,NA,5,2,NA,1,2,1,24,4,2,2,2,1,2,1,32,2,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"3",2,NA,4,2,4,3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,10,NA,1,3,1,1,"14",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,3,4,1,2,2,2,2,2,2,1,6,5,1,2,2,2,2,2,2,2,1,1,5,1,10.3,13.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,2,NA,180,630,810,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,NA,1.5,NA,1,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1.5,1.5,1,2,2,2,2,0,0,0,3,3,1.5,1,1,1,1,1,0,NA,NA,0,3,NA,3,1.5,1,3,1.5
"19",19,1,11,11,0,4,110400040,0,50815,9.3,9.4,0,0,0,0,1,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,10,9,6,3,2,NA,7,6,NA,2,NA,5,2,NA,1,2,1,24,4,2,1,2,1,2,1,65,4,4,0,3,1,1,1,4,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,4,1,1,2,2,NA,1,NA,5,2,2,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,5,5,5,2,14,10,NA,1,5,2,NA,3,4,4,1,1,2,NA,4,4,4,1,1,1,4,120,840,600,NA,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,2,2,2.5,2,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,2,2.5,2.5,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,3,1
"20",20,1,7,8,0,2,80400200,0,50815,17.3,17.45,0,0,0,0,1,6,2,2,NA,2,2,1,1,2,2,2,2,2,2,2,2,10,7,10,4,2,NA,5,4,5,2,NA,1,2,NA,2,2,1,24,3,2,2,3,1,1,1,64,4,4,0,3,1,1,1,6,2,2,2,2,1,1,2,NA,2,NA,2,NA,2,3,"0",2,NA,4,1,2,2.3,1,2,1,NA,2,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,4,3,4,1,1,2,2,2,2,1,2,NA,NA,2,2,2,2,2,2,2,2,3,3,5,2,13.3,10.3,0,1,13,2,NA,2,2,3,1,3,2,NA,2,3,3,2,2,2,NA,150,810,630,0,0,0,0,0,3,3,3,3,3,2,1,3,2,1,2,2,3,3,NA,3,NA,3,3,1,3,3,2.5,2,2,NA,2,2,2,3,3,0,3,0,1.5,1,2,2,2,2,2,2,2,2,1,2,1.5,1.5,1,3,3,3,3,2,2,2,3,3,2.5,2,2,2,2,2,2,3,1,2,3,NA,3,2.5,2,2,3
"21",21,1,7,8,0,7,80400070,0,50815,15.1,15.19,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,1,2,2,2,2,1,10,8,6,4,2,NA,7,7,NA,2,NA,5,2,NA,2,2,1,24,4,2,2,2,1,1,1,72,5,1,0,3,2,2,1,7,2,1,2,1,1,1,2,NA,2,NA,2,NA,2,3,"0",2,NA,3,1,NA,2,2,NA,1,NA,5,2,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"6",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,1,2,2,2,1,2,NA,NA,NA,2,2,2,1,2,2,2,2,1,1,4,3,17,7,NA,1,1,2,NA,1,4,4,1,1,2,NA,1,4,4,3,3,1,4,120,1020,420,NA,0,0,1,1,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,3,NA,2,NA,2,2,3,2,2,2.25,2,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,2,2,1,1,3,3,3,3,3,3,NA,3,3,NA,3,3,3,2.5,2
"22",22,1,4,9,1,876,90318769,9,50815,13.1,13.25,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,7,7,NA,2,NA,5,1,3,1,2,1,24,4,2,2,3,1,2,1,54,4,1,0,2,2,2,1,7,2,2,2,2,1,2,2,NA,2,NA,2,NA,1,3,"1",2,NA,1,1,3,0,NA,NA,1,NA,5,1,2,2,2,1,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,3,5,5,1,2,2,2,NA,1,2,NA,NA,NA,1,2,1,1,2,1,1,2,2,2,3,3,14,10,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,3,1,4,4,2,2,1,2,0,840,600,NA,0,0,1,5,2,2,2,2,3,3,1,3,3,1,2.33333333333333,2,1,1,NA,1,NA,1,2,3,2,2,2.25,2,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,NA,NA,0,0,NA,0,0,0,2.5,1
"23",23,1,4,9,1,705,90317059,9,50815,11.35,11.5,0,0,0,0,1,7,3,1,1,2,2,2,1,2,2,2,2,2,2,2,2,10,7,6,4,2,NA,7,7,NA,2,NA,5,2,NA,1,1,1,24,3,2,2,3,1,2,1,78,5,4,0,3,2,2,1,7,2,1,1,1,1,1,2,NA,2,NA,2,NA,1,5,"0",2,NA,3,1,3,0,NA,NA,1,NA,5,2,2,1,2,1,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,7,2,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,2,5,3,19.3,4.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,4,3,4,4,1,1,0,1170,270,0,0,0,1,0,2,2,2,2,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,2,3,1,1,1.75,1,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,2,1,1.5,3,3,2.25,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2.5,2
"24",24,1,11,11,0,4,110400040,0,60815,13.35,13.45,0,0,0,0,1,1,2,2,NA,1,1,1,1,2,2,2,2,2,2,2,2,10,4,15,4,2,NA,7,7,NA,1,4,3,1,5,1,2,1,24,4,1,1,1,1,2,1,65,4,4,0,3,1,1,1,1,2,1,1,1,1,1,2,NA,2,NA,2,NA,2,4,"4",2,NA,4,2,4,3,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,3,NA,5,3,17,7,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,3,3,1,1,2,NA,180,1020,420,NA,0,0,0,0,3,3,3,3,3,3,2,3,3,2,2.66666666666667,2,3,3,NA,3,NA,3,3,0,0,0,0.75,0,2,NA,2,2,2,3,3,0,3,0,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,2,3,3,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,1.5,3
"25",25,1,10,11,0,13,110300130,0,60815,18.4,19.02,0,0,0,0,1,6,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,8,6,1,2,NA,7,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,1,2,1,36,3,1,0,3,1,1,1,6,2,2,1,2,1,1,1,2,1,2,2,NA,1,5,"3",2,NA,2,1,3,3,1,2,1,NA,1,2,2,2,2,2,2,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,3,4,5,1,2,2,2,2,1,2,2,NA,NA,1,2,2,2,2,2,2,2,1,1,5,1,8,16,NA,1,14,2,NA,4,3,3,1,1,2,NA,4,3,3,2,2,2,NA,180,480,960,NA,0,0,1,1,0,0,0,0,3,3,3,3,3,3,3,3,1,0,NA,0.5,NA,0,2,1,3,3,2.25,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,1,1,1,1,2,3,2.5,2.5,2,2,2,2,2,0,0,0,3,3,1.5,1,0,0,0,0,3,3,NA,3,3,NA,3,3,3,1.5,0.5
"26",26,1,6,1,1,725,10317256,6,60815,18,18.1,0,0,0,0,1,7,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,10,7,6,3,2,NA,7,7,NA,2,NA,3,1,6,2,2,1,24,4,2,2,3,1,2,1,37,3,4,0,3,2,2,1,7,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,1,"0",2,NA,1,1,1,1,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3",4,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,7,2,NA,2,3,4,1,2,2,2,NA,1,2,2,NA,NA,2,2,2,2,2,2,2,1,NA,NA,5,1,15.3,8.3,1,2,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,2,2,2,NA,60,930,510,60,0,0,1,1,3,3,3,3,3,3,0,3,3,0,2,2,1,1,NA,1,NA,1,0,3,0,0,0.75,0,1,0,0.5,0.5,0,3,3,0,3,0,1.5,1,3,3,3,3,0,0,0,0,1,2,1.5,1.5,1,2,2,2,2,NA,NA,NA,3,3,3,3,3,3,3,3,0,NA,NA,0,0,NA,0,0,0,1.5,1
"27",27,1,4,9,1,709,90317098,8,60815,18.57,19.1,0,0,0,0,1,7,3,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,2,6,4,2,NA,7,7,NA,1,4,6,1,5,1,2,2,NA,NA,1,1,3,1,1,1,85,5,4,0,3,2,2,1,7,1,2,1,1,1,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,4,2,4,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"15",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,1,2,NA,NA,NA,2,2,1,1,2,2,2,2,3,3,5,3,16,8,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,3,4,4,1,1,2,NA,60,960,480,NA,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,0,0,1.5,1,3,NA,3,3,3,0,NA,3,0,3,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,2
"28",28,1,6,1,1,725,10317256,6,60815,17.2,17.3,0,0,0,0,1,8,3,2,NA,1,1,2,1,2,2,2,2,2,2,2,2,10,2,6,2,2,NA,5,7,NA,2,NA,5,2,NA,2,2,1,24,4,2,2,3,1,2,1,63,4,4,1,1,2,2,1,8,3,3,3,3,2,1,2,NA,2,NA,2,NA,2,5,"0",2,NA,1,1,2,2,2,NA,1,NA,7,2,2,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,4,2,NA,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,2,1,NA,NA,5,1,12.3,11.3,0,2,NA,NA,NA,NA,NA,NA,1,1,1,2,1,3,3,3,2,1,3,120,750,690,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,NA,0.5,NA,0,1,3,2,2,2,2,0,0,0,0,0,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,1,2,1.5,1.5,1,1,1,1,1,NA,NA,NA,3,3,3,3,2,2,2,2,0,NA,NA,0,0,NA,0,0,0,2,0.5
"29",29,1,7,8,0,2,80400200,0,70815,12.45,12.55,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,7,10,4,2,NA,3,4,10,2,NA,3,1,5,1,2,1,24,4,2,2,2,1,1,1,23,1,6,0,4,1,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,4,1,3,2,2,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,3,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,1,1,3,2,14,10,NA,1,13,2,NA,2,2,3,1,3,2,NA,2,2,3,2,2,2,NA,120,840,600,NA,0,0,0,0,3,3,3,3,3,2,1,3,2,1,2,2,3,3,NA,3,NA,3,3,3,3,3,3,3,2,NA,2,2,2,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,1,2,1.5,1.5,1,3,3,3,3,0,0,0,1,1,0.5,0,2,2,2,2,2,3,1,2,3,1,2,2,2,3,3
"30",30,1,4,9,1,709,90317098,8,70815,10.3,10.55,0,0,0,0,1,7,3,2,NA,2,1,1,1,2,2,2,2,2,2,2,2,10,7,10,5,2,NA,7,7,NA,1,4,5,1,3,1,2,1,24,4,1,2,3,1,2,1,58,4,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,1,1,1,2,NA,1,NA,1,2,2,2,2,2,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,1,2,NA,NA,NA,2,2,1,1,2,2,2,2,1,1,4,3,19.3,4.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,3,3,2,2,1,3,60,1170,270,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,2,2,1,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,3
